Sr. No.,Machine,Material Description,Make,Qty used,Remark,Item Code,Available Stock in SAP as on 28.11.2022,On Order Stock as on 28.11.22,Remark,Order status
71,Brake Bleeding ,"Communication cable for above (FESTO Profibus Module, CPX-FB13, 195740, J502, R-33, 21073719 Cable model NEFC-M12G5-0.3-U1G5",FESTO,1,Communication cable for FESTO profibus module,12776,1,1,,
72,Power Steering Oil Filling,"Vacuum Pump, Model ED-21 3PH.MOTOR",HIND HIVAC,1,Vacuum Pump,9721,0,0,,
73,Power Steering Oil Filling,Seal Kit for Filling 290/PAS/ADPTSEAL/02,Piecon,1,Adaptor Seal Kit,11872,2,2,,
74,Power Steering Oil Filling,"Pressure Sensor, 0-6 BAR S11 WIKA",WIKA,1,Pressure Sensor,11873,1,1,,
75,Power Steering Oil Filling,"Transmitter, 8356356,  S-11WIKA 0-250MBAR",WIKA,1,Vacuum Sensor,14303,0,0,,
76,Power Steering Oil Filling,"TP1200 Comfort, 6AV2 124-0MC01-0AA0",Siemens,1,HMI,,,,,
77,Power Steering Oil Filling,"PM-E ST, 6ES7 138-4CA01-0AA0",Siemens,1,Power supply module,11032,3,3,,
78,Power Steering Oil Filling,"8 DO SINK, 6ES7 132-4BF50-0AA0 ",Siemens,4,,,,,,
79,Power Steering Oil Filling,"4 AI, 6ES7 134-4GD00-0AB0",Siemens,1,,13439,2,2,,
80,Power Steering Oil Filling,"I/P 230v AC, O/P 24v DC, 15amp",,1,SMPS,,,,,
81,Power Steering Oil Filling,"FLOWPET-EG, LS 5276-4 OB, Bore Size 25mm",OVAL,1,Flow Meter,,,,,
82,Power Steering Oil Filling,PRESSURE  SWITCH   ISE30A-01-A-LA1,SMC,1,Air pressure switch,11579,0,0,,
83,Power Steering Oil Filling,"Type 900-0077, Range 0-6 bar, 30T70",PRESSOSTAT,1,,11874,0,0,,
84,Power Steering Oil Filling,I-VNB-211A-F15A-5DZ,SMC,20,Solenoid Valve,,,,,
85,Power Steering Oil Filling,MFSG-N32,Techtrol,3,Float Switch,11869,0,0,,
86,Power Steering Oil Filling,FGSO-J1401WW,Techtrol,1,Level Switch,11870,1,1,,
87,Power Steering Oil Filling,HFR10-25,Hydroline,1,Filter Element,11871,1,1,,
88,Power Steering Oil Filling,SOLENOID VALVE SQ2131N-51-C6,SMC,5,Manifold Valve,11967,1,1,,
89,Power Steering Oil Filling,"SS5Q2-X5M114, Max Pressure 0.7 Mpa, PP3430",SMC,1,Main Valve,11966,1,1,,
90,Power Steering Oil Filling,"I-IR2000-02BG1, PW, 010230",SMC,2,Pressure Regulator,11968,0,0,,
91,Power Steering Oil Filling,"I-VNB211A-F15A-5DZ, PP2688, PW",SMC,1,Process Valve,,,,,
92,Power Steering Oil Filling,VNB211A-F15A-5DZ,SMC,2,Process Valve,11584,2,2,,
93,Power Steering Oil Filling,"I-VNB211A-F15A-5DZ, PP2653, PW",SMC,6,Process Valve,,,,,
94,Power Steering Oil Filling,"I-AR20-02BG1, Max Pressure 1.0 Mpa, QR",SMC,1,Pressure Regulator,11582,18,18,,
