Sr. No.,Machine,Material Description,Make,Qty used,Remark,Item Code,Available Stock in SAP as on 28.11.2022,On Order Stock as on 28.11.22,Remark,Order status
491,Robot Kuka Glass Gluing ,"Transmitter 0 to 400bar, 110B79NE, 14272104",WIKA,1,,,,,,
492,Robot Kuka Glass Gluing ,ZP2-63HCL VACCUM PAD,SMC,5,Vacuum pad for Glass holding,18362,0,0,,
493,Robot Kuka Glass Gluing ,M29020063 BEARING FLANGE\80x80x6 d64,DURR India Pvt Ltd,1,"DURR, 2K Eco gun parts",13349,0,0,,
494,Robot Kuka Glass Gluing ,"M04020063 PINION\z30 M2,5 d16 B13",DURR India Pvt Ltd,1,,13350,1,0,,
495,Robot Kuka Glass Gluing ,"M04020067 PINION\z24 M2,5 d12 B9",DURR India Pvt Ltd,1,,13351,1,0,,
496,Robot Kuka Glass Gluing ,"M04020068 PINION\z19 M2,5 d25 B43",DURR India Pvt Ltd,1,,13352,2,0,,
497,Robot Kuka Glass Gluing ,"M04020069 PINION\z13 M2,5 d12 B13",DURR India Pvt Ltd,1,,13353,1,0,,
498,Robot Kuka Glass Gluing ,"M29010119 ECOGUN GLUING C2K 82,5x70x70",DURR India Pvt Ltd,1,,13354,1,0,,
499,Robot Kuka Glass Gluing ,"M04080818 ECOGUN GLUING C2K D25 M35x1,5",DURR India Pvt Ltd,1,,13355,1,0,,
500,Robot Kuka Glass Gluing ,M29020062 BEARING FLANGE\D47 d40 L20 AI,DURR India Pvt Ltd,1,,13356,1,0,,
501,Robot Kuka Glass Gluing ,M28600016 BALL TYPE NIPPLE\d16 D26 L36,DURR India Pvt Ltd,1,,13357,0,0,,
502,Robot Kuka Glass Gluing ,"M08030716 O-RING\15x2,5 75SH SW FPM(FKM)",DURR India Pvt Ltd,1,,13358,0,0,,
503,Robot Kuka Glass Gluing ,M28040013 GROOVED BALL BEARING\40x68x15,DURR India Pvt Ltd,1,,13359,15,0,,
504,Robot Kuka Glass Gluing ,M28040018 GROOVED BALL BEARING\25x47x12,DURR India Pvt Ltd,1,,13360,0,0,,
505,Robot Kuka Glass Gluing ,M28040010 GROOVED BALL BEARING\12x28x8,DURR India Pvt Ltd,1,,13361,0,0,,
506,Robot Kuka Glass Gluing ,"D04710016 CIRCLIP\25x1,2 DIN471 St",DURR India Pvt Ltd,1,,13362,6,0,,
507,Robot Kuka Glass Gluing ,D68850050 FEATHER KEY\A 8x7x25 DIN6885,DURR India Pvt Ltd,1,,13363,0,0,,
508,Robot Kuka Glass Gluing ,D63250001 SHAFT PIN\3m6x10 DIN6325,DURR India Pvt Ltd,1,,13364,0,0,,
509,Robot Kuka Glass Gluing ,D79910003 COUNTERSUNK BOLT M6x16 DIN7991,DURR India Pvt Ltd,1,,13365,0,0,,
510,Robot Kuka Glass Gluing ,M34130015 MIXING TUBE\KPL.F.ECOGUN GLUIN,DURR India Pvt Ltd,1,,13366,0,0,,
511,Robot Kuka Glass Gluing ,"PH25-80N HEATING HOSE 1""x8M TEFLON",Patvin ,1,Heated Hose,19789,1,0,,
512,Robot Kuka Glass Gluing ,"PH25-020N HEATING HOSE 1""x2M",Patvin ,1,Heated Hose,19790,1,0,,
513,Robot Kuka Glass Gluing ,KHP160150 HEATING HOSE 3/4x1.5 TEFLON,Patvin ,1,Heated Hose,19791,1,0,,
514,Robot Kuka Glass Gluing ,HARD DISK 480 GB,Hard Disk,1,HMI  back side Harddisk,18864,0,0,,
515,Apex U Bolt,"4B660A, No. 935781",Cleco,4, Spindle base unit Cleco,,,,"Not required, because complete spindle to be kept in spare",Indent under discussion
516,Apex U Bolt,Offset Gear 934354,Cleco,4, Spindle offset gear,,,,,Indent under discussion
517,Apex U Bolt,"Type - TSE, No.961446PT, Sr. No. 021836, 380vDC Tool servo drive",Cleco,4,Spindle back side power entry cable unit Cleco,,,,1 more need to be ordered,Indent under discussion
518,Apex U Bolt,"Jelonnek-961510PT
Pri - 400/230v, 50-60Hz
Sec - 270/156v, 6.41A",Jelonnek,1,Transformer ,,,,1 qty need to be ordered,Indent under discussion
519,Apex U Bolt, Highflex PS3-BTS with connectors both side 1Mtr cable,DGD,5,"Spindle Cable DGD
1Mtr",,,,To be segregated different part no. for each cable,Indent under discussion
520,Apex U Bolt, Highflex PS3-BTS with connectors both side 10Mtr cable,DGD,5,"Spindle Cable DGD
10Mtr",,,,To be segregated different part no. for each cable,Indent under discussion
521,Apex U Bolt, Highflex PS3-BTS with connectors both side 15Mtr cable,DGD,5,"Spindle Cable DGD
15Mtr",,,,To be segregated different part no. for each cable,Indent under discussion
522,Apex U Bolt, Highflex PS3-BTS with connectors both side 961104-200 TOOL CABLE,DGD,5,"Spindle Cable DGD
20 Mtr",18573,1,0,On order,
523,Apex U Bolt, Highflex PS3-BTS with connectors both side 961109-100 JUNCTION CABLE,DGD,5,"Spindle Cable DGD
20 Mtr",19891,1,0,On order,
524,Apex U Bolt,DGD Terminator,DGD,4,DGD Terminator,,,,1 on order,
525,Apex U Bolt,"mPro400SG,S961450-150,s/n-A84846",Cleco,1,Controller Touch Screen ,18575,0,0,Available at axle line. Confirmed (part number its same),
526,Apex U Bolt,"Apex, CPM3, Sr No 0004668
96112",Apex,1, Drive,,,,1 on order,
527,Apex U Bolt,"4VK3B, No. 934354, Sr. No. 167796 Transducer for U-bolt spindle",Cleco,4,Transducer for U-bolt spindle,,,,1 qty need to be ordered,Indent under discussion
528,Apex U Bolt, 4BTS-4B660A-4VK3B U-bolt spindle 947603A3,Cleco,4,Spindle Cleco,18570,1,0,1 more complete spindle to be ordered,Indent under discussion
529,Apex U Bolt,"S7-1200 simatic,
CPU-1214C,
I/P & O/P module - SM-1223,6ES7-223-1PL32-0XB0",Siemens,1,PLC S7 -1200 Simatic,,,,Item code 18189 plc available in store . Need to check with machine PLC part number,Indent under discussion
530,Apex U Bolt,"PSU100l,Siemens-6EP1336-1LB00
DC24v, 20Amp",Siemens,1,SMPS (Main panel side),7986,0,0,1 qty need to be ordered,Indent under discussion
531,Apex U Bolt,"KTP-900 Basic,6AV2-123-2JB03-0AX0",Siemens,2,Operator HMI,18520,1,1,1 more qty to be order,Indent under discussion
532,Apex U Bolt,"10A,CS10",,1,SMPS (Controller panel),,,,17781 part no. 12.5Amp 24V available at store,Indent under discussion
533,Apex U Bolt,Siemens-3RF2430-1AC45,Siemens,2,Main contactor,,,,1 qty need to be ordered,Indent under discussion
534,Apex U Bolt,"KP20-2000, 178459",FESTO,2,Tilting unit valve Festo,18361,1,0,,
535,Apex U Bolt,EMCA-EC67S1TE DIO 8061196KD08 IP54 DRIVE,FESTO,2,Festo Drive (For Pitch Adjustment),19951,1,0,,
536,Apex U Bolt,NEBC-D12G4-ES-0.5-S-D12G4-ET COMM. CABLE,FESTO,1,Communication cable for FESTO Pitch Adjustment Drive (Above),19952,1,0,,
537,Apex U Bolt,NEEDLE BEARING NK 38/30,,4,Bearing,17590,17,10,On order,Indent given at stores
538,Apex U Bolt,RPMI35800L PMI LINEAR RAIL,,2,LM Rail ,20928,2,0,to be ordered,Indent under discussion
539,Apex U Bolt,LINEAR BLOCK BPMI35 PMI,,4,LM Block for Up/Down Rail,20671,0,8,to be ordered,Indent under discussion
540,Apex U Bolt,Hoist,,,,,,,,Indent under discussion
541,Apex U Bolt,EPOS Trolley,,,,,,,,Indent under discussion
542,Apex U Bolt,Cable trolley,,,,,,,,Indent under discussion
543,Apex U Bolt,Handle,,,,,,,,Indent under discussion
544,Apex U Bolt,SAFETY BELT HSG-15-1.8,Kapras,2,,,,,Indent in process,Indent under discussion
545,Apex U Bolt,SPINDLE HOUSING 3218-01-400-25-A,Kapras,4,,,,,Indent in process,Indent under discussion
546,Apex U Bolt,SPINDLE SPRING -APX 3218-01-400-25-A,Kapras,4,,,,,Indent in process,Indent under discussion
547,Apex U Bolt,DRIVE SHAFT -APX 3218-01-400-27-A,Kapras,4,,,,,Indent in process,Indent under discussion
548,Apex U Bolt,SPRING GUIDE-APX 3218-01-400-30-A,Kapras,4,,,,,Indent in process,Indent under discussion
549,Apex U Bolt,"Lead Screw Assembly-LH consists of Lead screw
-Nut – LH
-Nut mtg bkt 3218-01-410-00-A",Kapras,1,,,,,Indent in process,Indent under discussion
550,Apex U Bolt,"Lead Screw Assembly-RH consists of Lead screw
-Nut – LH
-Nut mtg bkt 3218-01-420-00-A",Kapras,1,,,,,Indent in process,Indent under discussion
551,Apex U Bolt,Spindle motor for  4BTS-4B660A-4VK3B,Apex,4,Spindle Motor for U-bolt machine,,,,1 motor to be ordered,Indent under discussion
552,Praja EMS ,ROLLER COUPLED WITH MOTOR W/O BEARING,Praja,2,Praja EMS drive wheel,16941,0,2,,
553,Praja EMS ,ROLLER 200x50 WITH BEARING 6006,Praja,4,Praja EMS Idler Wheel,16940,1,2,,
554,Praja EMS ,ROLLER 50 x 18 WITH BEARING 6202-ZZ,Praja,10,Praja EMS Guide Wheel,16942,2,0,,
555,Praja EMS ,1090004 SIDE GUIDE ROLLER ASSEMBLY.,Praja,10,Praja EMS Guide Wheel,12159,3,0,,
556,Engine & Cabin TAL EMS,340471281009 DRIVE WHEEL ASSEMBLY,TAL,8,Drive wheel TAL EMS,15093,11,0,,
557,Engine & Cabin TAL EMS,340471281010 IDLER ROLLER,TAL,10,Idler Wheel TAL EMS,15096,4,0,,
558,Engine & Cabin TAL EMS,340471281007 UPPER SIDE WHEEL ASSEMBLY,TAL,10,Upper side guide wheel TAL EMS,15094,25,0,,
559,Engine & Cabin TAL EMS,340471281008 LOWER SIDE WHEEL ASSEMBLY,TAL,10,Lower side guide wheel TAL EMS,15095,3,0,,
560,Engine & Cabin TAL EMS,SINGLE CURRENT COLLECTOR KDS 2/40 PHASE,TAL,50,Current collector TAL EMS,11344,40,60,,
561,Engine & Cabin TAL EMS,ALLEN STUD 12x50 TAL EMS BOLT,Local,1000,C channel to Aluminium track mounting bolt (Grub screw),21068,50,0,,
562,ATS EMS,99060501 MOTOR ROLLER D160 x 40 WITH PU,ATS,15,Drive wheel ATS EMS Cabtrim ,12321,0,15,On order 15 nso ,
563,ATS EMS,830660753 ATS IDLER WHEEL DIA 160 x 40 W,ATS,25,Idler wheel ATS EMS Cabtrim,14656,10,0,,
564,ATS EMS,34010001 GUIDE ROLLER ASSY.WITH SHAFT,ATS,60,Guide wheel ATS EMS Cabtrim,12320,4,100,On order 100nso ,
565,ATS EMS,241035155 PARALLELARM COLLECTOR PASK30  ,ATS,75,Cabtrim ATS EMS & Norfi Current Collector,12157,55,0,,
566,ATS EMS,99067615 AL.BEND CURVE 45 DEG 504 V2 (R),ATS,5,Curve switch ATS EMS,18047,1,0,,
566,ATS EMS,EMS AL TRACK BEND 60 DEGREE RADIOUS 2000,ATS,5,Curve switch ATS EMS,18048,0,0,,
566,ATS EMS,99067618 AL.BEND CURVE 45 DEG 504 V2LEFT,ATS,5,Curve switch ATS EMS,17912,1,0,,
569,Cabtrim ,6SL3224-0BE13-7UA0 SINAMICS G120 PM240,Siemens,1,LMD Cabtrim RIO Panel - 2,13484,2,0,,
570,Cabtrim ,6SL32440BB121FA0 G120-CU240E-2PN,Siemens,1,LMD Cabtrim RIO Panel - 2,11796,0,5,,
571,Cabtrim ,"6EP0 133-3AA00-0AA1, 24VDC, 5 AMP",Siemens,1,LMD Cabtrim RIO Panel - 2,,0,,,
572,Cabtrim ,6SL32440BB121FA0 G120-CU240E-2PN,Siemens,10,LMD Cabtrim RIO Panel - 1,11796,0,5,,
573,Cabtrim ,6SL3224-0BE15-5UA0,Siemens,10,LMD Cabtrim RIO Panel - 1,,0,,,
574,Cabtrim ,6AV6 644-0AB01-2AX0,Siemens,5,HMI Main for Carrier Operating,,0,,,
575,Cabtrim ,6SL32240BE175UAO SINAMICS G120 SIEMENS,Siemens,1,New PRB VFD Power Module,11795,0,1,,
576,Cabtrim ,6SL3224-0BE13-7UA0 SINAMICS G120 PM240,Siemens,5,PRB Motor VFD Power Module,13484,2,0,,
577,Cabtrim ,6SL3244-0BB12-1PA1 Control device,Siemens,15,ATS EMS Carrier Panel VFD Control Unit,13533,1,0,,
578,Cabtrim ,AMS101225 SPECIAL BOLT M12xM10x25L,Local,1000,PRB roller shaft bolt,20017,30,0,,
579,Cabtrim ,ROLLER COATING QRC TYPE NYLON 80X80X150,Local,500,PRB roller teflon coating cover,18068,42,0,,
580,Cabtrim ,63020214 SHAFT DIA 30 FOR ACC CONVEYOR,Local,10,ACC conveyor shaft,16474,0,1,,
581,Cabtrim ,SHAFT DIA 32X1310 FOR PRB CONVEYOR,Local,100,PRB roller shaft,21067,1,1,,
582,Manual Sealant Gun ,"PowerCure Battery Li-Ion 18V 2Ah
494106",SIKA,,,,,,,
583,Manual Sealant Gun ,"PowerCure Spare Plunger
494109",SIKA,,,,,,,
584,Manual Sealant Gun ,"PowerCure Spare Plunger Clip
494111",SIKA,,,,,,,
585,Manual Sealant Gun ,"PowerCure Spare Barrel Alu
579562",SIKA,,,,,,,
586,Manual Sealant Gun ,"PowerCure Spare Bayonet Sleve
494114",SIKA,,,,,,,
587,Manual Sealant Gun ,"PowerCure Spare Tooth Rack
494119",SIKA,,,,,,,
588,Manual Sealant Gun ,"PowerCure Spare Tooth Rack Cover
494115",SIKA,,,,,,,
589,Manual Sealant Gun ,"PowerCure Charger EU/CH 230V
494116",SIKA,,,,,,,
590,Prosit System,OBD CABLE 20M,Pragati Solution,1,OBD CABLE 20M,18440,10,0,,
591,Prosit System,BRIO SCANNER,Pragati Solution,1,BRIO SCANNER,18441,3,0,,
592,Pitman Arm Desautter ,6159175430 CABLE EME CVI 15M,Desautter,1,Power cable Pitman arm Desautter,15733,1,1,,
593,Sterring Gear Box Sub-Assy DCNR,QST90-1000CT-T50-L152-H25,Atlas Copco,1,Spindle Sterring Gear Box Sub-Assy DCNR,NA,,,,
594,LMD EOLT,A-B195-M-27005-087 ABS CABLE CONNECTOR,,1,ABS spiral cable (Round type connector),12310,3,0,,
595,LMD EOLT,3024091 CABLE SERIAL 120FT,,1,ABS cable from main panel to spiral cable connector ((Round type connector)),12773,3,0,,
596,LMD EOLT,DIAGNOSTIC CABLE,,10,ABS cable D-Type 9 pin connector & other side round connector which was connect with vehicle,12986,0,10,,
597,TOD,6AV21240JC010AX0 HMI TP 900 SIMATIC,Siemens,1,TOD HMI,15571,0,1,,
598,TOD,6ES71518FB010ABO SIEMENS ET200MP IMI151,Siemens,1,IM Module,11785,1,0,,
599,TOD,6GK57341FX000AA0 SCALANCE W734-1RJ45,Siemens,2,Client Module Top side panel fitted,14807,2,0,,
600,TOD,6SL32440BB121FA0 G120-CU240E-2PN,Siemens,2,VFD control unit Top side panel fitted,11796,0,5,,
601,TOD,6SL3210-1PE12-3UL1 POWER MODULE PM240-2,Siemens,2,VFD power unit Top side panel fitted,17568,1,1,,
602,TOD,3TF34 00-0B,Siemens,10,Contactor,,,,,
603,TOD,Scalance W700,Siemens,1,Scalance module Top side panel fitted,,,,,
,TOD,"Wire rope D=12,5 sZ galv part no -3300099",sparkline,58.4 MTR,for front & rear hoist,20488,29.4MTR,,,
,TOD,,,,,,,,,
,TOD,,,,,,,,,
,,,,,,,,,,
603,Front & Rear axle trolley ,VSM48-006-20CEB,Crompton Greaves,2,VFD CG,,,,,
604,Front & Rear axle trolley ,OMRON SYSMAC CP1E,Omron,2,PLC Omron,,,,,
605,Front & Rear axle trolley ,S8FS-C05024 POWER SUPPLY 24VDC 2.2AMP,Omron,2,SMPS,19071,1,0,,
606,RFID,"BL20-PG-EN-V3, 6827393, PG-EN-V3",Turck,5,LAN module,,,,,
607,RFID,"BL20-2RFID-A, 6827233",Turck,5,2 RFID reader connect,,,,,
608,RFID,"TNLR-Q80-H1147, H6GTJ",Turck,10,RFID reader yellow colour,,,,,
609,RFID,6AV21240GC010AX0 HMI TP700 COMFORT,Siemens,1,TP700 COMFORT HMI,15583,1,0,,
610,FP line ,Festo valve 5/2 ,Festo,1,FP new & old conveyor pusher valve ,100599,2,,,
611,,,,,,,,,,
612,,,,,,,,,,
613,,,,,,,,,,
614,,,,,,,,,,
615,,,,,,,,,,
616,,,,,,,,,,
617,,,,,,,,,,
618,,,,,,,,,,
619,,,,,,,,,,
620,,,,,,,,,,
621,,,,,,,,,,
622,,,,,,,,,,
623,,,,,,,,,,
624,,,,,,,,,,
625,,,,,,,,,,
626,,,,,,,,,,
627,,,,,,,,,,
566,ATS EMS,GALVANISED WIRE ROPE DIA 8 RIGHT 11.5 mtr length,ATS,15,ATS EMS CRs wire rope,17882,,,,
566,ATS EMS,GALVANISED WIRE ROPE DIA 8 LEFT 11.5 mtr length,ATS,15,ATS EMS CRs wire rope,17883,,,,
