material no.,description,bin no.,val.stock,max.price,value,uom,storage loc
10635,KIT3880786 KIT BARREL PLUNGER & CUP,1000DG,0,,0,NOS,1060
10636,3881511 CYLINDER HEAD,1000DG,0,,0,NOS,1060
10637,PT10010001 PT PUMP PARTS,1000DG,0,,0,NOS,1060
10638,S212 NUT REGULAR HEXGON,1000DG,0,,0,NOS,1060
10639,AK6065SS HOSE FLEXIBLE,1000DG,1,,"1,624.14",NOS,1060
10640,3043213 GASKET PAN ADOPTER,1000DG,0,,0,NOS,1060
10641,3043211 GASKET OIL PAN,1000DG,0,,0,NOS,1060
10642,3874218 ASSY.BLOCK FUEL,1000DG,0,,0,NOS,1060
10643,3001811 CAPSCREW FUEL MFD,1000DG,0,,0,NOS,1060
10644,127018 WASHER PLAIN,1000DG,0,,0,NOS,1060
10645,3006089 CYLINDER LINER KIT,1000DG,0,,0,NOS,1060
10646,3047390 BRG.CON ROD,1000DG,0,,0,NOS,1060
10647,3057139 PUSH ROD VALVE,1000DG,0,,0,NOS,1060
10648,3017961 PUSH ROD INJECTOR,1000DG,0,,0,NOS,1060
10649,3873365 CAPSCREW,1000DG,0,,0,NOS,1060
10650,KIT2865146 PISTON RING,1000DG,0,,0,NOS,1060
10651,3804301 SET LOWER ENGINE GASKET,1000DG,0,,0,NOS,1060
10652,KIT4072225 GASKET SET UPPER KTA,1000DG,0,,0,NOS,1060
10653,3167224 PREMIXED COOLANT 205 LIT,1000DG,0,,0,NOS,1060
10654,500255 PREMIUM BLUE 15W40CH4 1/210 LTR,1000DG,1,,"30,030.00",NOS,1060
10719,4105947 PANEL CONTROL,1000DG,2,,"51,671.64",NOS,1060
10733,3231473 HEAT EXCHANGER,1000DG,0,,0,NOS,1060
11591,4020552 INNER ELEMENT,1000DG,0,,0,NOS,1060
11592,3874224 PIPE,1000DG,0,,0,NOS,1060
11797,3239599 S D VALVE (AR-5535-K),1000DG,1,,"4,259.14",NOS,1060
11865,3178289 GASKET AFTER COOLER,1000DG,0,,0,NOS,1060
13918,4056443 HOSE 3230440,1000DG,2,,"1,190.54",NOS,1060
13919,125739 CLAMP T BOLT HOSE,1000DG,6,,867.06,NOS,1060
13920,125742 CLAMP T BOLT,1000DG,4,,832.8,NOS,1060
13921,4971836 PRIMER ENGINE LUBRICATING,1000DG,2,,"50,658.24",NOS,1060
14150,0338-4977 HARNESS (ALTERNATOR TO DG CON,1000DG,2,,"13,825.60",NOS,1060
14376,3233694 VALVE,1000DG,1,,"2,088.48",NOS,1060
15084,AX1000185 DRIVING HUB,1000DG,0,,0,NOS,1060
15085,AX1001035 DE BRG PRSSD.IN CARTRIDGE,1000DG,0,,0,NOS,1060
15086,AX1002147 NDE BEARING PRESSED IN CARTDG,1000DG,0,,0,NOS,1060
15087,AX1001054 AVR MX 321,1000DG,0,,0,NOS,1060
15088,3231805 MUFFLER,1000DG,0,,0,NOS,1060
15089,"2880039 GASKET,EXH OUT CON.",1000DG,0,,0,NOS,1060
16401,3816981 INHIBITOR CORROSION,1000DG,3,,"161,581.35",NOS,1060
16402,AK10025MS HOSE FLEXIBLE,1000DG,1,,"1,271.46",NOS,1060
16403,AK 6045 SS HOSE FLEXIBLE,1000DG,2,,"2,705.80",NOS,1060
16404,AK 6015 SS HOSE FLEXIBLE,1000DG,0,,0,NOS,1060
16405,AK 10021 SS HOSE FLEXIBLE,1000DG,1,,"1,191.81",NOS,1060
16406,AK 16030 SS HOSE FLEXIBLE,1000DG,2,,"4,685.78",NOS,1060
16407,AK 4020 SS HOSE FLEXIBLE,1000DG,1,,658.39,NOS,1060
16408,3030514 HOSE ELBOW,1000DG,4,,"6,458.04",NOS,1060
16409,3030790 HOSE HUMP,1000DG,2,,986.68,NOS,1060
16410,AK 6045 ST HOSE FLEXIBLE,1000DG,1,,"1,397.42",NOS,1060
16411,"3016306 CLAMP, V BAND",1000DG,2,,"2,336.02",NOS,1060
17205,3408326 ACTUATOR ETR FUEL CONTROL,1000DG,1,,"102,948.97",NOS,1060
17206,3875360 PICKUP MAGNETIC,1000DG,2,,"7,933.34",NOS,1060
17603,0338-4232 HARNESS-ENGINE,1000DG,1,,"51,666.55",NOS,1060
17604,0338-4186 HARNESS-AC (PMG),1000DG,1,,"4,989.49",NOS,1060
